dataset_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
Detailed Indian Prompts (DIP),"Occupation, Culture",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Occupation, Faith",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),Occupations & Aspirations,1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Patriotism, Culture",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),Pluralism,1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Pop Culture, Rural",3.0,3.0,3.0,1.0
Detailed Indian Prompts (DIP),"Poverty, Culture",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Protest, Religion",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Region, Childhood",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),Regional Culture,1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),Regional Diversity,3.0,3.0,3.0,1.0
Detailed Indian Prompts (DIP),Religion,5.0,5.0,5.0,5.0
Detailed Indian Prompts (DIP),Religion & Spirituality,1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Attire",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Austerity",1.0,1.0,1.0,2.0
Detailed Indian Prompts (DIP),"Religion, Caste",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Craft",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Culture",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Discipline",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Economy",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Education",5.0,5.0,5.0,3.0
Detailed Indian Prompts (DIP),"Religion, Minority",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Philosophy",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Plurality",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Poverty",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Region",1.0,1.0,3.0,3.0
Detailed Indian Prompts (DIP),"Religion, Syncretism",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Religion, Theatre",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Ritual, Folk Dance",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Rural, Culture",1.0,3.0,3.0,1.0
Detailed Indian Prompts (DIP),"Rural, Labor",2.0,2.0,2.0,1.0
Detailed Indian Prompts (DIP),"Rural, Water Crisis",5.0,5.0,5.0,5.0
Detailed Indian Prompts (DIP),"Signs, Language & Scripts",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Sports, Childhood",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Sports, Region",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Tourism, Art",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Tradition, Festival",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Tradition, Knowledge",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Tradition, Region",3.0,3.0,3.0,3.0
Detailed Indian Prompts (DIP),"Tribal, Nature",3.0,3.0,2.0,2.0
Detailed Indian Prompts (DIP),"Tribal, Rural",1.0,1.0,3.0,5.0
Detailed Indian Prompts (DIP),"Tribal, Tradition",5.0,5.0,5.0,5.0
Detailed Indian Prompts (DIP),"Unity, Patriotism",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),"Urban Poverty, Religion",1.0,1.0,1.0,1.0
Detailed Indian Prompts (DIP),Water Crisis,3.0,3.0,2.0,1.0
Short Simple Prompts (SSP),"Arts, Music & Pop Culture",1.0,1.0,1.0,1.0
Short Simple Prompts (SSP),Daily Life & Social Context,3.0,3.0,3.0,1.0
Short Simple Prompts (SSP),Diversity & Inclusion,1.0,1.0,1.0,3.0
Short Simple Prompts (SSP),"Education, Youth & Women",3.0,3.0,3.0,1.0
Short Simple Prompts (SSP),Indian Festivals & Rituals,3.0,3.0,3.0,1.0
Short Simple Prompts (SSP),Occupations & Aspirations,5.0,3.0,3.0,1.0
Short Simple Prompts (SSP),Regional Diversity,3.0,3.0,3.0,1.0
Short Simple Prompts (SSP),Religion & Spirituality,1.0,1.0,3.0,1.0
Short Simple Prompts (SSP),"Signs, Language & Scripts",5.0,3.0,3.0,1.0
